Account name,Account IBAN,Counteraccount IBAN,Transaction date,Amount,Currency,Detail
Jos,BE69771770897312,BE85518866740947,Tue Feb 18 09:40:53 CET 2020,-16.69,EUR,Nostrum quo repellat non voluptates.
Jos,BE69771770897312,BE91493660627359,Wed Feb 05 07:59:57 CET 2020,-2135.09,EUR,Officiis ipsum in consequuntur aut qui.
Jos,BE69771770897312,BE79844122590397,Tue Feb 11 20:49:19 CET 2020,-993.44,EUR,Nihil exercitationem dignissimos.
Jos,BE69771770897312,BE93477718709624,Sat Feb 01 16:28:36 CET 2020,41.07,EUR,Autem autem sint quaerat eaque fugit culpa est.
Jos,BE69771770897312,BE92796193611024,Thu Feb 06 18:38:52 CET 2020,-2492.59,EUR,Ut eos rerum quisquam.
Jos,BE69771770897312,BE60578933988487,Sat Feb 15 12:07:05 CET 2020,1520.56,EUR,Consequatur voluptates incidunt voluptate dolorum voluptas.
Jos,BE69771770897312,BE17371101548992,Fri Feb 07 09:59:16 CET 2020,-3582.58,EUR,Architecto totam laborum voluptate dolor.
Jos,BE69771770897312,BE86173722634424,Tue Feb 18 21:13:20 CET 2020,2114.52,EUR,Ut et magni aperiam.
Jos,BE69771770897312,BE96876781268085,Mon Feb 10 21:25:36 CET 2020,-4246.26,EUR,Facilis autem cum hic.
Jos,BE69771770897312,BE09962144433306,Tue Feb 18 03:39:41 CET 2020,206.25,EUR,Ab aperiam qui.
Jos,BE69771770897312,BE04255305757376,Mon Feb 17 17:18:21 CET 2020,1467.18,EUR,Non est laborum cupiditate alias et.
Jos,BE69771770897312,BE72843342457741,Tue Feb 11 21:48:12 CET 2020,-1549.28,EUR,Nobis pariatur omnis aut sed.
Jos,BE69771770897312,BE85435276372378,Sat Feb 15 04:24:01 CET 2020,-3161.55,EUR,Consequatur inventore porro tempora dolor.
Jos,BE69771770897312,BE58171695699842,Sat Feb 15 18:55:51 CET 2020,1256.75,EUR,Sed ducimus tenetur facere unde quibusdam eius libero.
Jos,BE69771770897312,BE65690913978339,Wed Feb 19 08:04:24 CET 2020,2135.52,EUR,Sit itaque perspiciatis.
Jos,BE69771770897312,BE60869026185566,Thu Feb 13 20:47:00 CET 2020,4857.59,EUR,Eum sit repellat porro tenetur atque corrupti.
Jos,BE69771770897312,BE83677450100886,Mon Feb 10 01:00:31 CET 2020,3594.87,EUR,Placeat vel nobis et qui.
Jos,BE69771770897312,BE13166280243420,Sun Feb 09 04:00:04 CET 2020,3316.21,EUR,Enim facilis debitis maiores vitae.
Jos,BE69771770897312,BE38439725686206,Thu Feb 06 23:00:22 CET 2020,2321.01,EUR,Eum sed beatae.
Jos,BE69771770897312,BE11908539128591,Sat Feb 15 06:56:30 CET 2020,-3976.29,EUR,Maxime harum et non.
Jos,BE69771770897312,BE18011496531731,Mon Feb 17 23:59:18 CET 2020,-3647.85,EUR,Blanditiis quod in.
Jos,BE69771770897312,BE16743514258267,Wed Feb 05 16:00:21 CET 2020,-549.72,EUR,Eos deserunt dolores sapiente accusantium enim.
Jos,BE69771770897312,BE54219556411811,Sun Jan 26 04:30:30 CET 2020,3402.84,EUR,Voluptas porro libero delectus quo dignissimos occaecati illum.
Jos,BE69771770897312,BE66438392103609,Mon Feb 17 01:21:46 CET 2020,2917.45,EUR,Iste voluptatibus ea nihil laboriosam fuga odio.
Jos,BE69771770897312,BE13467520535748,Tue Feb 18 03:34:12 CET 2020,-4971.67,EUR,Voluptate voluptas quam nihil sunt itaque sapiente molestiae.
Jos,BE69771770897312,BE15256063952634,Sat Feb 08 18:21:03 CET 2020,-3013.9,EUR,Voluptatum tempore recusandae.
Jos,BE69771770897312,BE62725759873012,Sat Feb 15 04:59:38 CET 2020,-3677.68,EUR,Et suscipit et.
Jos,BE69771770897312,BE71667829685431,Mon Feb 10 08:39:18 CET 2020,3844.31,EUR,Voluptatibus alias architecto.
Jos,BE69771770897312,BE91134248658546,Wed Jan 22 23:37:35 CET 2020,4701.86,EUR,Nisi id quas totam.
Jos,BE69771770897312,BE42990997085622,Thu Feb 13 15:16:48 CET 2020,676.88,EUR,Tenetur eos alias voluptatem.
Jos,BE69771770897312,BE43096037766018,Wed Jan 29 01:55:00 CET 2020,1325.33,EUR,Numquam vel quisquam quo doloremque quo.
Jos,BE69771770897312,BE40834640676393,Sun Feb 09 08:06:20 CET 2020,1353.02,EUR,Beatae sed assumenda nihil delectus.
Jos,BE69771770897312,BE22655789429296,Fri Feb 07 14:37:05 CET 2020,2759.54,EUR,Maxime vel laboriosam ut est.
Jos,BE69771770897312,BE49140691117614,Tue Feb 18 03:18:32 CET 2020,442.18,EUR,Repellendus enim aperiam veniam possimus.
Jos,BE69771770897312,BE25676893829337,Fri Feb 14 04:18:58 CET 2020,4946.34,EUR,Quaerat iste amet in optio soluta.
Jos,BE69771770897312,BE46508839269455,Sat Feb 01 00:00:02 CET 2020,2386.45,EUR,Quia in autem.
Jos,BE69771770897312,BE89218305648464,Fri Feb 14 13:10:37 CET 2020,201.89,EUR,A ut modi quaerat voluptas.
Jos,BE69771770897312,BE09480252253166,Mon Jan 27 20:38:42 CET 2020,-2723.11,EUR,Cupiditate qui veritatis veritatis at commodi nemo est.
Jos,BE69771770897312,BE98825551394624,Thu Feb 13 19:55:08 CET 2020,3468.54,EUR,Atque sequi similique sit iste sed quos.
Jos,BE69771770897312,BE55308260337704,Mon Feb 03 16:06:28 CET 2020,-1497.48,EUR,Hic ex ducimus assumenda.
Jos,BE69771770897312,BE62037767244833,Thu Feb 13 16:22:19 CET 2020,4704.51,EUR,Assumenda autem cumque.
Jos,BE69771770897312,BE88478331959331,Sat Feb 01 12:51:21 CET 2020,4346.42,EUR,Aut recusandae porro nostrum et dicta natus.
Jos,BE69771770897312,BE22619012579345,Fri Jan 31 18:01:26 CET 2020,-3490.87,EUR,Aut cumque aut.
Jos,BE69771770897312,BE52434052468585,Mon Feb 03 02:59:09 CET 2020,-3516.51,EUR,Facilis optio aspernatur asperiores aut.
