Account name,Account IBAN,Counteraccount IBAN,Transaction date,Amount,Currency,Detail
Jos,BE69771770897312,BE91955913170939,Sun Feb 16 05:00:19 CET 2020,4299.08,EUR,Maxime voluptatem tempora animi commodi.
Jos,BE69771770897312,BE89446520426551,Wed Feb 12 21:14:50 CET 2020,-195.76,EUR,Nemo nostrum nam.
Jos,BE69771770897312,BE24878748371569,Sat Feb 01 20:26:53 CET 2020,2882.46,EUR,Rerum minima minima in ea.
Jos,BE69771770897312,BE95575259780147,Wed Jan 29 05:27:01 CET 2020,-4805.42,EUR,Quia quo recusandae.
Jos,BE69771770897312,BE14958949318788,Tue Feb 18 14:42:45 CET 2020,-3054.01,EUR,Cum est ea quos.
Jos,BE69771770897312,BE48395631656692,Sun Feb 16 03:51:43 CET 2020,-2655.94,EUR,Ea consequatur eligendi.
Jos,BE69771770897312,BE74526224221409,Sun Feb 16 01:24:57 CET 2020,2843.46,EUR,Laborum sit hic consequuntur.
Jos,BE69771770897312,BE81036940954550,Mon Feb 17 20:02:26 CET 2020,4815.8,EUR,Atque quidem enim dolor ut.
Jos,BE69771770897312,BE13226369129367,Sun Feb 16 16:42:15 CET 2020,704.32,EUR,Ut in inventore assumenda quia velit placeat.
Jos,BE69771770897312,BE52193133023833,Thu Feb 13 09:43:36 CET 2020,-2570.38,EUR,Sed ad laborum minima hic officia quia iure.
Jos,BE69771770897312,BE30342700172149,Thu Feb 13 05:42:20 CET 2020,-3799.05,EUR,Accusantium minima quam quo tempore quis.
Jos,BE69771770897312,BE67746690698307,Fri Feb 07 03:43:06 CET 2020,-1067.68,EUR,Officia aperiam illum debitis earum dolorem aut.
Jos,BE69771770897312,BE16172457989163,Wed Feb 19 06:47:09 CET 2020,-1604.47,EUR,Tempora quia quo.
Jos,BE69771770897312,BE58371761691648,Mon Feb 10 06:02:16 CET 2020,3736.67,EUR,Modi illo laudantium repellendus sit.
Jos,BE69771770897312,BE40690529560514,Mon Feb 17 09:35:40 CET 2020,-1915.2,EUR,Ipsum est est repellendus accusantium sed quae esse.
